"Country","Zone","Competitor_Name","Competitor_Product_Category","Competitor_Price","Competitor_Market_Share"
"Germany","East","Competitor_B","Water","9.15","14.99"
"USA","West","Competitor_B","Water","8.4","33.33"
"USA","West","Competitor_C","Juices","2.36","30.14"
"Brazil","East","Competitor_C","Carbonated Drinks","2.64","12.45"
"Brazil","North","Competitor_C","Juices","1.72","35.44"
"Brazil","East","Competitor_A","Carbonated Drinks","2.1","12.35"
"USA","East","Competitor_B","Juices","7.87","35.77"
"USA","East","Competitor_B","Carbonated Drinks","5.78","41.9"
"India","North","Competitor_B","Juices","4.19","31.7"
"USA","West","Competitor_A","Water","2.73","19.95"
"China","South","Competitor_B","Juices","4.18","25.86"
"India","East","Competitor_C","Carbonated Drinks","6.25","34.71"
"India","West","Competitor_C","Water","7.32","14.59"
"China","East","Competitor_A","Carbonated Drinks","7.27","16.94"
"India","North","Competitor_A","Water","2.59","38.94"
"Brazil","South","Competitor_A","Juices","8.38","29.71"
"India","South","Competitor_A","Water","4.9","23.31"
"Brazil","West","Competitor_C","Juices","8.78","33.92"
"USA","East","Competitor_A","Carbonated Drinks","2.52","37.83"
"Brazil","East","Competitor_A","Carbonated Drinks","6.14","39.87"
"Germany","West","Competitor_A","Water","2.87","21.93"
"Brazil","West","Competitor_B","Juices","3.56","45.43"
"China","West","Competitor_C","Water","6.74","49.34"
"Germany","South","Competitor_A","Carbonated Drinks","6.59","37.39"
"India","East","Competitor_C","Water","4.72","20.46"
"USA","West","Competitor_C","Carbonated Drinks","1.01","41.6"
"India","East","Competitor_C","Carbonated Drinks","1.72","34.48"
"China","East","Competitor_C","Juices","9.85","23.93"
"Germany","South","Competitor_A","Juices","8.28","48.32"
"USA","West","Competitor_B","Juices","5.97","37.68"
"USA","South","Competitor_B","Juices","3.6","47.57"
"China","North","Competitor_C","Juices","5.43","48.3"
"Brazil","South","Competitor_A","Carbonated Drinks","4.33","29.31"
"Brazil","South","Competitor_A","Juices","9.73","13.84"
"Germany","East","Competitor_B","Juices","5.66","23.73"
"USA","East","Competitor_B","Carbonated Drinks","7.45","26.96"
"China","North","Competitor_B","Water","1.38","13.75"
"China","East","Competitor_B","Carbonated Drinks","1.13","30.26"
"China","South","Competitor_C","Juices","4.14","40.17"
"Germany","South","Competitor_A","Carbonated Drinks","6.04","19.49"
"China","North","Competitor_A","Water","5.58","18.14"
"USA","West","Competitor_B","Water","1.74","48.09"
"USA","East","Competitor_A","Carbonated Drinks","4.95","12.34"
"USA","South","Competitor_A","Juices","3.19","25.39"
"China","East","Competitor_A","Juices","2.64","16.3"
"Germany","North","Competitor_C","Carbonated Drinks","8.04","25.45"
"India","West","Competitor_C","Juices","1.56","14.61"
"Germany","East","Competitor_A","Carbonated Drinks","9.96","32.73"
"Germany","West","Competitor_C","Juices","7.75","15.94"
"Germany","South","Competitor_B","Juices","9.95","14.08"
"Germany","East","Competitor_C","Water","3.45","33.5"
"Germany","West","Competitor_C","Water","8.61","34.49"
"Germany","South","Competitor_B","Juices","7.35","25.12"
"USA","West","Competitor_B","Carbonated Drinks","7.15","15.49"
"Germany","West","Competitor_A","Juices","4.37","15.77"
"China","East","Competitor_C","Water","2.19","29.42"
"Germany","West","Competitor_C","Water","4.03","12.42"
"USA","South","Competitor_C","Water","6.67","28.97"
"China","East","Competitor_A","Water","2.94","42.79"
"USA","West","Competitor_A","Carbonated Drinks","3.3","36.89"
"Brazil","West","Competitor_A","Carbonated Drinks","5.69","38.36"
"Brazil","East","Competitor_A","Water","8.86","14.81"
"Brazil","East","Competitor_A","Juices","6.8","27.76"
"India","North","Competitor_C","Juices","7.22","39.49"
"Germany","West","Competitor_A","Water","1.3","23.39"
"Brazil","West","Competitor_C","Water","2.59","15.46"
"India","North","Competitor_B","Juices","2.52","41.67"
"USA","South","Competitor_B","Water","9.25","43.54"
"Brazil","East","Competitor_A","Water","3.69","23.86"
"Brazil","West","Competitor_A","Juices","1.23","17.65"
"China","East","Competitor_A","Carbonated Drinks","4.93","16.9"
"USA","East","Competitor_A","Juices","3.27","11.71"
"India","East","Competitor_A","Water","5.22","11.1"
"Germany","South","Competitor_A","Carbonated Drinks","4.46","30.41"
"India","West","Competitor_C","Carbonated Drinks","1.15","40.65"
"Germany","North","Competitor_C","Carbonated Drinks","3.62","47.75"
"USA","East","Competitor_C","Carbonated Drinks","6.47","38.94"
"Germany","South","Competitor_A","Carbonated Drinks","7.24","31.45"
"Brazil","East","Competitor_B","Water","8.22","34.25"
"USA","South","Competitor_B","Water","2.91","29.8"
"USA","South","Competitor_A","Water","1.9","16.46"
"India","South","Competitor_C","Carbonated Drinks","2.77","14.07"
"USA","East","Competitor_A","Juices","8.64","29.55"
"India","South","Competitor_C","Juices","3.52","36.56"
"Brazil","West","Competitor_A","Carbonated Drinks","5.13","40.84"
"Germany","West","Competitor_A","Juices","7.65","40.01"
"Germany","South","Competitor_A","Juices","9.48","16.3"
"India","East","Competitor_B","Carbonated Drinks","6.97","22.74"
"Germany","West","Competitor_B","Juices","7.05","20.34"
"Germany","West","Competitor_C","Juices","4.34","38.52"
"India","South","Competitor_A","Carbonated Drinks","4.74","17.31"
"China","South","Competitor_B","Carbonated Drinks","4.95","31.45"
"China","South","Competitor_B","Carbonated Drinks","9.9","27.1"
"USA","South","Competitor_A","Carbonated Drinks","5.65","27.02"
"India","East","Competitor_C","Juices","6.53","33.82"
"Brazil","West","Competitor_C","Juices","7.78","30.78"
"China","East","Competitor_C","Juices","9.05","26.46"
"Brazil","East","Competitor_A","Water","9.42","21.11"
"Germany","East","Competitor_C","Carbonated Drinks","8.52","42.31"
"Brazil","South","Competitor_B","Water","9","18.83"
"Brazil","East","Competitor_B","Juices","2.57","48.87"
"USA","West","Competitor_C","Carbonated Drinks","7.55","24.16"
"Germany","South","Competitor_A","Water","3.37","10.29"
"India","South","Competitor_B","Carbonated Drinks","8.59","26.38"
"China","South","Competitor_A","Juices","9.08","27.92"
"Brazil","South","Competitor_C","Water","2.57","31.25"
