"Country","Zone","Product_Category","Customer_Rating","Feedback_Type","Volume_of_Feedback","Date"
"USA","North","Carbonated Drinks","5","Negative","414","2024-01-01"
"Germany","West","Carbonated Drinks","4","Negative","127","2024-01-01"
"China","South","Carbonated Drinks","4","Negative","54","2024-01-01"
"China","West","Carbonated Drinks","1","Positive","193","2024-01-01"
"Germany","South","Carbonated Drinks","3","Negative","288","2024-01-01"
"China","South","Carbonated Drinks","5","Negative","154","2024-01-01"
"India","South","Water","5","Positive","182","2024-01-01"
"China","East","Water","5","Positive","412","2024-01-01"
"USA","South","Water","4","Negative","141","2024-01-01"
"Brazil","West","Water","3","Positive","335","2024-01-01"
"China","South","Water","5","Negative","355","2024-01-01"
"Brazil","North","Carbonated Drinks","3","Negative","432","2024-01-01"
"China","West","Juices","4","Positive","256","2024-01-01"
"China","West","Carbonated Drinks","2","Negative","424","2024-01-01"
"USA","North","Carbonated Drinks","5","Positive","394","2024-01-01"
"Brazil","East","Carbonated Drinks","1","Negative","330","2024-01-01"
"Brazil","East","Carbonated Drinks","1","Positive","54","2024-01-01"
"India","East","Carbonated Drinks","1","Negative","165","2024-01-01"
"Germany","East","Carbonated Drinks","1","Negative","130","2024-01-01"
"Brazil","North","Juices","1","Negative","418","2024-01-01"
"China","North","Carbonated Drinks","1","Negative","164","2024-01-01"
"USA","North","Water","3","Positive","491","2024-01-01"
"India","West","Carbonated Drinks","3","Negative","225","2024-01-01"
"India","West","Water","4","Positive","193","2024-01-01"
"China","East","Water","2","Negative","139","2024-01-02"
"Brazil","East","Carbonated Drinks","3","Positive","356","2024-01-02"
"India","North","Water","5","Positive","403","2024-01-02"
"Germany","East","Juices","2","Negative","131","2024-01-02"
"Brazil","South","Carbonated Drinks","3","Negative","349","2024-01-02"
"Germany","South","Juices","3","Positive","412","2024-01-02"
"India","North","Carbonated Drinks","3","Negative","92","2024-01-02"
"India","West","Water","4","Positive","463","2024-01-02"
"India","South","Juices","3","Positive","184","2024-01-02"
"China","North","Water","3","Positive","451","2024-01-02"
"Brazil","East","Carbonated Drinks","3","Negative","235","2024-01-02"
"Brazil","North","Carbonated Drinks","2","Negative","489","2024-01-02"
"India","West","Water","4","Positive","247","2024-01-02"
"India","North","Water","4","Negative","266","2024-01-02"
"Brazil","East","Carbonated Drinks","1","Positive","149","2024-01-02"
"Brazil","East","Juices","2","Positive","222","2024-01-02"
"Brazil","East","Carbonated Drinks","4","Negative","274","2024-01-02"
"Brazil","West","Juices","4","Positive","301","2024-01-02"
