"Country","Zone","Marketing_Spend","Campaign_Type","Customer_Reach","Brand_Awareness_Score","Date"
"Germany","West","7699.38","Digital","82723","7","2024-01-01"
"Germany","West","17264.02","Traditional","77123","9","2024-01-01"
"China","South","10521.32","Digital","84307","7","2024-01-01"
"India","North","16531.01","Digital","99506","10","2024-01-01"
"China","South","6251.3","Traditional","12197","7","2024-01-01"
"Germany","South","7781.93","Digital","56230","6","2024-01-01"
"Germany","East","14698.3","Traditional","53189","9","2024-01-01"
"India","West","8874.48","Traditional","25335","2","2024-01-01"
"Brazil","East","12861.41","Traditional","21046","3","2024-01-01"
"Brazil","East","13273.93","Traditional","71476","6","2024-01-01"
"USA","West","10303.52","Traditional","86759","6","2024-01-01"
"India","South","7601.27","Traditional","96352","4","2024-01-01"
"Brazil","North","5852.98","Traditional","75437","1","2024-01-01"
"Brazil","South","5020.41","Digital","28343","9","2024-01-01"
"Germany","North","9947.28","Traditional","90851","7","2024-01-01"
"Germany","South","19872.74","Digital","76055","7","2024-01-01"
"Germany","East","13160.57","Digital","15199","8","2024-01-01"
"China","East","11697.72","Digital","33978","10","2024-01-01"
"Germany","North","14856.46","Digital","46239","9","2024-01-01"
"China","West","7406.05","Traditional","48474","9","2024-01-01"
"India","West","5003.62","Digital","61351","10","2024-01-01"
"USA","North","13104.13","Digital","56358","8","2024-01-01"
"Brazil","West","17927.52","Digital","36511","8","2024-01-01"
"USA","East","17348.89","Traditional","72755","4","2024-01-01"
"Brazil","South","13832.56","Traditional","79315","8","2024-01-02"
"USA","West","17138.85","Traditional","35975","8","2024-01-02"
"China","West","11831.95","Digital","29246","3","2024-01-02"
"Germany","South","13232.52","Digital","95791","6","2024-01-02"
"Brazil","West","13500.85","Digital","41020","8","2024-01-02"
"USA","East","12280.97","Traditional","48601","1","2024-01-02"
"India","South","9393.56","Digital","28043","9","2024-01-02"
"Brazil","West","16166.11","Digital","70570","2","2024-01-02"
"Germany","West","10902.63","Traditional","38135","9","2024-01-02"
"USA","North","17898.88","Digital","20353","2","2024-01-02"
"Germany","East","13272.61","Traditional","61884","6","2024-01-02"
"USA","South","7654.47","Digital","44901","8","2024-01-02"
"India","East","19276.31","Traditional","54850","3","2024-01-02"
"India","West","11445.18","Digital","91483","3","2024-01-02"
"Germany","North","18924.71","Traditional","22945","6","2024-01-02"
"India","South","9890.15","Traditional","19857","6","2024-01-02"
"China","East","11884.88","Digital","67529","5","2024-01-02"
"China","West","15036.02","Digital","43657","7","2024-01-02"
"China","East","11682.27","Digital","79106","3","2024-01-02"
"India","East","8479.04","Digital","85943","4","2024-01-02"
"China","West","9400.22","Digital","26603","8","2024-01-02"
"Brazil","East","9866.59","Digital","87689","4","2024-01-02"
"USA","West","13692","Traditional","83173","1","2024-01-02"
"China","East","17672.33","Digital","80803","3","2024-01-02"
"China","East","19731.71","Digital","63006","10","2024-01-03"
"Brazil","South","6289.59","Digital","72579","1","2024-01-03"
"China","South","18314.42","Traditional","59877","4","2024-01-03"
"India","West","14215.38","Digital","88727","3","2024-01-03"
"Germany","East","9445.85","Traditional","45247","1","2024-01-03"
"China","North","16806.52","Digital","99152","5","2024-01-03"
"Brazil","West","7408.09","Traditional","23254","3","2024-01-03"
"Germany","North","10294.13","Digital","55210","7","2024-01-03"
"Germany","South","14787.73","Digital","92229","2","2024-01-03"
"India","South","7901.43","Traditional","51245","7","2024-01-03"
"Germany","North","16819.55","Digital","11851","10","2024-01-03"
"Germany","East","16573.95","Digital","35944","4","2024-01-03"
"Germany","North","19352.01","Digital","86282","8","2024-01-03"
"China","West","12264.2","Digital","68428","8","2024-01-03"
"Brazil","East","8058.75","Traditional","38196","2","2024-01-03"
"Brazil","South","17190.01","Traditional","56993","1","2024-01-03"
"India","East","12066.46","Traditional","88178","9","2024-01-03"
"USA","East","17172.89","Traditional","79556","4","2024-01-03"
"Germany","West","15445.99","Digital","17072","4","2024-01-03"
"USA","West","15650.62","Digital","53058","10","2024-01-03"
"Brazil","North","9791.68","Traditional","81689","1","2024-01-03"
"USA","South","18963.22","Digital","30978","5","2024-01-03"
"China","West","10544.77","Traditional","60412","1","2024-01-03"
"Brazil","West","19011.47","Traditional","69032","1","2024-01-03"
"China","West","17856.7","Traditional","64391","4","2024-01-04"
"USA","East","8798.27","Traditional","70878","5","2024-01-04"
"India","East","6505.09","Digital","65560","3","2024-01-04"
"Brazil","North","15418.26","Traditional","59820","4","2024-01-04"
"India","South","16618.51","Traditional","96996","6","2024-01-04"
"Germany","South","13922.1","Digital","90800","1","2024-01-04"
"China","East","9815.73","Digital","20557","8","2024-01-04"
"China","West","6222.99","Traditional","61815","7","2024-01-04"
"India","North","18105.4","Digital","96703","3","2024-01-04"
"Brazil","West","9481.18","Traditional","28876","6","2024-01-04"
"Germany","South","13679.17","Traditional","14021","4","2024-01-04"
"India","East","8988.73","Digital","55233","6","2024-01-04"
"India","West","15709.77","Digital","49984","1","2024-01-04"
"India","West","19369.89","Traditional","88157","3","2024-01-04"
"Brazil","West","6171.53","Digital","31579","9","2024-01-04"
"China","South","6192.46","Traditional","55696","2","2024-01-04"
"Brazil","East","17422.51","Traditional","93460","9","2024-01-04"
"Brazil","North","17923.4","Traditional","59380","1","2024-01-04"
"China","East","5291.42","Traditional","31789","10","2024-01-04"
"Brazil","West","10105.72","Digital","90403","2","2024-01-04"
"USA","North","10188.6","Digital","68719","7","2024-01-04"
"Brazil","East","13666.55","Digital","52168","4","2024-01-04"
"China","East","16445.02","Traditional","50700","4","2024-01-04"
"China","East","16390.51","Traditional","90884","6","2024-01-04"
"Germany","West","14069.8","Digital","45780","8","2024-01-05"
"China","South","8290.78","Traditional","34272","4","2024-01-05"
"China","East","11204.34","Digital","53072","10","2024-01-05"
"Brazil","South","7566.04","Traditional","32724","6","2024-01-05"
"USA","East","8336.05","Digital","47654","4","2024-01-05"
