"Country","Zone","Product_ID","Product_Category","Units_Sold","Revenue","Cost_of_Goods_Sold","Date"
"China","West","P92","Juices","439","3904.98","1996.17","2024-01-01"
"USA","North","P50","Carbonated Drinks","720","1883.06","1962.65","2024-01-01"
"USA","West","P88","Juices","152","1152.97","2012.99","2024-01-01"
"Brazil","West","P60","Juices","224","2203.95","2037.96","2024-01-01"
"China","West","P75","Juices","181","2099.11","975.75","2024-01-01"
"China","West","P7","Carbonated Drinks","187","3934.91","2155.11","2024-01-01"
"USA","West","P80","Carbonated Drinks","580","2929.15","2907","2024-01-01"
"China","North","P34","Water","488","3444.93","2268.3","2024-01-01"
"Germany","South","P73","Juices","368","4726.4","555.36","2024-01-01"
"India","North","P22","Water","812","3282.91","2398.06","2024-01-01"
"Brazil","North","P83","Carbonated Drinks","496","3475.46","2655.96","2024-01-01"
"China","North","P44","Carbonated Drinks","820","3775.16","1443.52","2024-01-01"
"Germany","East","P33","Carbonated Drinks","555","4193.06","2730.02","2024-01-01"
"India","West","P100","Water","813","4295.3","1807.43","2024-01-01"
"China","West","P15","Water","585","2944.11","2482.4","2024-01-01"
"India","East","P36","Water","169","2764.4","856.3","2024-01-01"
"Brazil","East","P100","Carbonated Drinks","757","1993.85","1069.38","2024-01-01"
"Germany","West","P74","Water","438","3069.21","1767.12","2024-01-01"
"China","North","P43","Water","268","3822.05","1467.85","2024-01-01"
"USA","West","P9","Water","229","3424.2","945.22","2024-01-01"
"India","South","P18","Carbonated Drinks","303","1497.69","2045.54","2024-01-01"
"USA","North","P23","Water","453","2760.57","2358.78","2024-01-01"
"USA","West","P19","Water","145","2139.19","2928.89","2024-01-01"
"Germany","East","P77","Water","605","3869.12","2595.79","2024-01-01"
"USA","West","P4","Carbonated Drinks","860","2258.63","1971.93","2024-01-02"
"Brazil","South","P20","Carbonated Drinks","588","3509.74","1840.04","2024-01-02"
"Germany","South","P25","Water","297","1367.29","1793.23","2024-01-02"
"USA","East","P97","Water","169","4281.4","2400.81","2024-01-02"
"China","South","P59","Carbonated Drinks","869","4105.44","987.14","2024-01-02"
"Germany","West","P9","Juices","318","2525.52","2840.66","2024-01-02"
"India","North","P17","Carbonated Drinks","614","4121.81","632.71","2024-01-02"
"China","South","P94","Carbonated Drinks","687","4248.11","2144.11","2024-01-02"
"Germany","East","P16","Carbonated Drinks","532","4502.12","1825.79","2024-01-02"
"China","South","P95","Carbonated Drinks","146","3705.68","2003.04","2024-01-02"
"USA","South","P31","Carbonated Drinks","494","2287.94","1179.77","2024-01-02"
"China","East","P59","Water","304","1480.17","2770.2","2024-01-02"
"India","East","P70","Water","669","2526.35","986.91","2024-01-02"
"USA","South","P92","Water","613","2027.92","2339.99","2024-01-02"
"Germany","North","P19","Carbonated Drinks","109","2713.5","2147.28","2024-01-02"
"Germany","North","P85","Carbonated Drinks","514","4099.25","2457.95","2024-01-02"
"Germany","West","P65","Juices","571","2951.76","1689.03","2024-01-02"
"Germany","South","P12","Juices","876","3161.39","2248.23","2024-01-02"
"USA","East","P38","Water","686","1324.2","2842.72","2024-01-02"
"USA","South","P52","Carbonated Drinks","296","3261.55","720.27","2024-01-02"
"Germany","West","P12","Juices","541","1254.54","1897.15","2024-01-02"
"USA","South","P90","Carbonated Drinks","934","4865.02","778.96","2024-01-02"
"USA","South","P98","Carbonated Drinks","229","3577.35","2958.39","2024-01-02"
"Brazil","North","P70","Water","841","1904.91","2526.83","2024-01-02"
"Germany","North","P34","Water","192","2136.96","1742.81","2024-01-03"
"China","West","P47","Carbonated Drinks","466","4879.71","1569.69","2024-01-03"
"Brazil","East","P92","Juices","871","3834.63","1753.55","2024-01-03"
"Germany","West","P56","Water","639","3986.73","829.03","2024-01-03"
"Brazil","South","P90","Carbonated Drinks","188","4734.38","1336.84","2024-01-03"
"USA","West","P39","Juices","938","2459.41","2720.67","2024-01-03"
"Brazil","West","P93","Carbonated Drinks","344","3938.15","1196.03","2024-01-03"
"USA","North","P40","Water","578","2726.36","2376.31","2024-01-03"
"USA","North","P15","Water","411","1780.64","2790.41","2024-01-03"
"Germany","East","P45","Water","470","1443.17","967.01","2024-01-03"
"Brazil","East","P55","Water","946","3387.27","1791.99","2024-01-03"
"Germany","North","P8","Water","478","1721.22","1075.93","2024-01-03"
"Brazil","East","P77","Carbonated Drinks","849","1831.26","2794.36","2024-01-03"
"USA","North","P84","Carbonated Drinks","259","1473.89","1587.53","2024-01-03"
"India","South","P28","Carbonated Drinks","672","3698.5","1190.54","2024-01-03"
"USA","North","P46","Carbonated Drinks","699","2547.63","792.77","2024-01-03"
"China","South","P70","Water","402","3764.31","2969.26","2024-01-03"
"India","South","P7","Carbonated Drinks","425","2631.84","1615.47","2024-01-03"
"Brazil","West","P28","Water","400","2523.4","2751.71","2024-01-03"
"China","South","P85","Juices","362","1579.51","1284.96","2024-01-03"
"USA","South","P45","Juices","824","3912.56","697.32","2024-01-03"
"Germany","East","P21","Juices","773","1112.4","754.92","2024-01-03"
"Germany","South","P19","Juices","555","3071.86","2914.44","2024-01-03"
"Germany","South","P89","Juices","664","4468.78","2654.78","2024-01-03"
"Germany","South","P15","Juices","134","1443.28","712.22","2024-01-04"
"China","South","P13","Juices","652","2873.91","2599.44","2024-01-04"
"Brazil","West","P29","Water","654","1232.59","2728.2","2024-01-04"
"China","North","P53","Carbonated Drinks","221","2610.84","1559.04","2024-01-04"
"India","East","P71","Water","929","2780.31","2773.82","2024-01-04"
"Brazil","South","P84","Juices","204","2817.1","660","2024-01-04"
"China","West","P62","Juices","625","2794.87","1042.18","2024-01-04"
"Germany","South","P95","Juices","667","1111.44","2912.43","2024-01-04"
"Brazil","South","P65","Carbonated Drinks","580","2262.45","1105.5","2024-01-04"
"China","East","P12","Juices","659","2958.57","1105.23","2024-01-04"
"USA","West","P36","Carbonated Drinks","431","4198.9","1211.21","2024-01-04"
"Brazil","East","P77","Carbonated Drinks","201","4742.45","1698.07","2024-01-04"
"Brazil","East","P17","Carbonated Drinks","462","3395.47","2324.56","2024-01-04"
"Germany","South","P93","Carbonated Drinks","236","3120.73","2260.81","2024-01-04"
"Germany","West","P35","Juices","612","4577.75","1743.02","2024-01-04"
"China","East","P15","Water","104","3443.76","799.23","2024-01-04"
"Germany","North","P57","Water","389","4759.09","1338.89","2024-01-04"
"India","West","P21","Juices","779","1213.39","1421.44","2024-01-04"
"India","North","P90","Water","427","4757.73","2889.94","2024-01-04"
"USA","East","P10","Juices","797","1815.97","1630.11","2024-01-04"
"Brazil","West","P16","Carbonated Drinks","513","1840.68","2998.12","2024-01-04"
"USA","South","P91","Carbonated Drinks","569","3858.72","879.47","2024-01-04"
"Brazil","North","P92","Water","456","3214.11","2419.32","2024-01-04"
"India","East","P66","Carbonated Drinks","823","2436.72","1843.4","2024-01-04"
"Brazil","South","P42","Carbonated Drinks","311","1183.82","1257.11","2024-01-05"
"USA","East","P5","Water","903","3547.68","1152.85","2024-01-05"
"India","East","P67","Carbonated Drinks","170","4220.26","1082.04","2024-01-05"
"Brazil","South","P77","Water","651","4206.87","2812.38","2024-01-05"
"Germany","East","P94","Juices","832","1460.3","1830.42","2024-01-05"
"India","North","P99","Water","448","3782.28","1757.04","2024-01-05"
"Germany","West","P33","Juices","405","2470.42","636.25","2024-01-05"
"China","North","P95","Water","639","4937.21","2756.7","2024-01-05"
"China","East","P83","Carbonated Drinks","777","1032.22","1272.46","2024-01-05"
"India","North","P9","Water","963","3771.18","506.81","2024-01-05"
"USA","East","P5","Water","885","3673.19","1382.26","2024-01-05"
"Germany","East","P82","Carbonated Drinks","506","4395.4","2313.49","2024-01-05"
"USA","West","P35","Water","674","2379.81","1454.8","2024-01-05"
"Germany","West","P90","Carbonated Drinks","372","3888.15","2829.2","2024-01-05"
"Brazil","West","P35","Carbonated Drinks","920","2297.64","2324.96","2024-01-05"
"Brazil","South","P34","Water","216","2025.33","2964.12","2024-01-05"
"China","East","P21","Water","562","1062.02","2802.43","2024-01-05"
"China","North","P15","Carbonated Drinks","297","2591.64","2416.88","2024-01-05"
"USA","South","P31","Juices","560","4878.73","2966.38","2024-01-05"
"Germany","North","P61","Juices","407","2805.4","2425.96","2024-01-05"
"Brazil","South","P7","Juices","633","2232.44","576.71","2024-01-05"
"Brazil","West","P8","Juices","402","1185.24","2201.97","2024-01-05"
"USA","East","P38","Juices","918","3130.98","1177.4","2024-01-05"
"Germany","East","P40","Juices","786","2654.17","1998.18","2024-01-05"
"Brazil","West","P68","Water","126","2430.48","2933.02","2024-01-06"
"USA","North","P23","Carbonated Drinks","719","3182.06","2391.06","2024-01-06"
"USA","North","P94","Carbonated Drinks","224","2978.43","2211.04","2024-01-06"
"India","East","P38","Water","302","1411.48","2559.54","2024-01-06"
"Brazil","North","P25","Carbonated Drinks","277","4592.23","2899.68","2024-01-06"
"Brazil","East","P42","Juices","633","1954.12","1561.19","2024-01-06"
"Brazil","East","P99","Carbonated Drinks","710","4983.2","2460.35","2024-01-06"
"Brazil","West","P55","Carbonated Drinks","389","1075.04","1354.58","2024-01-06"
"India","North","P3","Carbonated Drinks","302","3666.43","1606.59","2024-01-06"
"China","North","P18","Carbonated Drinks","137","2910.99","1493.26","2024-01-06"
"Germany","South","P69","Water","615","2180.4","2262.62","2024-01-06"
"China","West","P57","Carbonated Drinks","871","1281.69","634.22","2024-01-06"
"China","South","P15","Water","582","1617.27","1259.78","2024-01-06"
"Brazil","West","P59","Water","796","1082.54","1945.89","2024-01-06"
"China","North","P95","Water","278","2116.7","2501.1","2024-01-06"
"Germany","East","P43","Carbonated Drinks","550","3906.29","1819.72","2024-01-06"
"Brazil","West","P30","Water","210","1591.89","2071.91","2024-01-06"
"Brazil","West","P16","Carbonated Drinks","956","2945.78","2242.43","2024-01-06"
"India","North","P14","Water","942","4122.09","1262.12","2024-01-06"
"India","North","P11","Carbonated Drinks","602","4190.29","2599.22","2024-01-06"
"India","South","P84","Juices","942","2620.37","1694.32","2024-01-06"
"India","North","P88","Water","687","4207.35","2364.42","2024-01-06"
"India","East","P22","Carbonated Drinks","519","4885.71","1050.96","2024-01-06"
"Brazil","South","P17","Carbonated Drinks","123","1492.29","1178.65","2024-01-06"
"India","North","P41","Juices","209","2044.34","1777.64","2024-01-07"
"Brazil","East","P7","Juices","628","3821.96","2638.59","2024-01-07"
"India","North","P43","Carbonated Drinks","531","4587.35","1938.91","2024-01-07"
"Germany","East","P86","Juices","538","3628.81","2388.87","2024-01-07"
"Germany","South","P22","Carbonated Drinks","653","1836.76","2447.29","2024-01-07"
"Brazil","West","P7","Water","217","1358.9","877.96","2024-01-07"
"India","West","P63","Juices","794","3113.34","2913.8","2024-01-07"
"USA","North","P81","Carbonated Drinks","268","1923.17","2703.17","2024-01-07"
"Brazil","South","P91","Juices","351","1160.86","2123.93","2024-01-07"
"Germany","South","P91","Juices","623","1772.19","573.97","2024-01-07"
"India","North","P37","Juices","802","2742.97","2082.55","2024-01-07"
"Germany","North","P15","Carbonated Drinks","778","1826.55","1590.8","2024-01-07"
"Brazil","South","P89","Juices","981","3128.7","2577.45","2024-01-07"
"Germany","North","P69","Water","162","4744.59","1601.07","2024-01-07"
"China","North","P42","Carbonated Drinks","954","3623.03","2874.57","2024-01-07"
"India","East","P42","Carbonated Drinks","133","3881.69","2010.67","2024-01-07"
"Brazil","North","P40","Juices","816","2079.33","890.62","2024-01-07"
"USA","North","P81","Carbonated Drinks","488","2624.21","1183.13","2024-01-07"
"China","East","P68","Juices","707","1834.36","2655.92","2024-01-07"
"China","West","P6","Water","640","3611.2","886.75","2024-01-07"
"USA","East","P67","Water","252","2628.7","2003.21","2024-01-07"
"Germany","East","P28","Juices","270","3281.28","1309.54","2024-01-07"
"Germany","North","P88","Water","817","2840.46","2292.14","2024-01-07"
"China","South","P79","Water","146","3932.23","2003.1","2024-01-07"
"Brazil","East","P97","Juices","552","3141.47","1507.69","2024-01-08"
"USA","South","P80","Carbonated Drinks","908","3300.96","2789.36","2024-01-08"
"China","North","P82","Juices","722","3095.19","937.54","2024-01-08"
"China","East","P62","Carbonated Drinks","670","1078.23","687.28","2024-01-08"
"India","West","P61","Carbonated Drinks","569","4271.51","740.59","2024-01-08"
"USA","West","P64","Juices","387","4260.95","1595.89","2024-01-08"
"Brazil","South","P61","Juices","765","1185.66","2823.6","2024-01-08"
"Brazil","East","P8","Juices","518","2120.91","542.19","2024-01-08"
"India","East","P28","Juices","882","1068.07","2913.58","2024-01-08"
"India","West","P99","Juices","786","3603.03","597.6","2024-01-08"
"USA","South","P28","Juices","541","2204.21","2002.35","2024-01-08"
"USA","East","P12","Water","567","3557.98","896.5","2024-01-08"
"Brazil","East","P35","Carbonated Drinks","655","1659.31","2091.82","2024-01-08"
"Brazil","South","P31","Juices","248","3650.17","693.83","2024-01-08"
"Germany","South","P73","Carbonated Drinks","901","3452.09","1224.58","2024-01-08"
"Brazil","North","P33","Juices","257","2651.13","1921.21","2024-01-08"
"Brazil","West","P13","Carbonated Drinks","736","4398.9","1832.84","2024-01-08"
"Germany","West","P38","Carbonated Drinks","711","3725.11","2133.37","2024-01-08"
"Germany","North","P25","Juices","551","4156.08","711.13","2024-01-08"
"China","North","P65","Water","648","3143.22","2494.08","2024-01-08"
"USA","South","P15","Carbonated Drinks","191","4490.84","797.95","2024-01-08"
"China","North","P84","Water","725","4168.57","1329.96","2024-01-08"
"China","West","P1","Water","247","1388.55","1678.54","2024-01-08"
"USA","North","P69","Carbonated Drinks","563","1264.87","829.85","2024-01-08"
"Germany","West","P47","Carbonated Drinks","444","4724.05","2050.52","2024-01-09"
"USA","West","P34","Water","609","4261.17","2142.4","2024-01-09"
"Germany","West","P44","Juices","820","2639.99","2193.5","2024-01-09"
"Germany","South","P35","Carbonated Drinks","667","2760.97","1287.74","2024-01-09"
"China","West","P33","Carbonated Drinks","870","3544.15","2665.56","2024-01-09"
"USA","East","P41","Carbonated Drinks","469","2230.27","2340.98","2024-01-09"
"China","South","P60","Carbonated Drinks","225","3151.27","1710.47","2024-01-09"
"USA","North","P41","Carbonated Drinks","751","3929.37","930.26","2024-01-09"
"India","East","P97","Carbonated Drinks","623","1349.92","1988.66","2024-01-09"
"China","East","P11","Juices","260","2113.47","2846.85","2024-01-09"
"China","South","P73","Water","203","2342.05","1670.64","2024-01-09"
"Germany","West","P26","Water","859","2446.73","2919.63","2024-01-09"
"Brazil","West","P99","Water","758","4047.53","986.77","2024-01-09"
"India","South","P48","Water","768","2968.34","2719.92","2024-01-09"
