Country,Zone,Product_ID,Product_Category,Units_Sold,Revenue,Cost_of_Goods_Sold,Date,Marketing_Spend,Campaign_Type,Customer_Reach,Brand_Awareness_Score,Customer_Rating,Feedback_Type,Volume_of_Feedback,Competitor_Name,Competitor_Price,Competitor_Market_Share,Profit,Profit Margin
China,West,P92,Juices,439,3904.98,1996.17,2024-01-01,7406.05,Traditional,48474,9,4,Positive,256,Competitor_A,1.46,24.03,1908.81,0.48881428329978643
China,West,P75,Juices,181,2099.11,975.75,2024-01-01,7406.05,Traditional,48474,9,4,Positive,256,Competitor_A,1.46,24.03,1123.3600000000001,0.5351601392971307
China,West,P7,Carbonated Drinks,187,3934.91,2155.11,2024-01-01,7406.05,Traditional,48474,9,1,Positive,193,Competitor_C,4.46,21.67,1779.7999999999997,0.45231021802277555
Usa,North,P50,Carbonated Drinks,720,1883.06,1962.65,2024-01-01,13104.13,Digital,56358,8,5,Negative,414,Competitor_B,6.78,38.2,-79.59000000000015,-0.04226631121684925
Usa,North,P23,Water,453,2760.57,2358.78,2024-01-01,13104.13,Digital,56358,8,3,Positive,491,Competitor_C,4.03,24.7,401.78999999999996,0.1455460285375846
Brazil,North,P83,Carbonated Drinks,496,3475.46,2655.96,2024-01-01,5852.98,Traditional,75437,1,3,Negative,432,Competitor_A,9.9,20.09,819.5,0.23579612482951898
Germany,East,P33,Carbonated Drinks,555,4193.06,2730.02,2024-01-01,14698.3,Traditional,53189,9,1,Negative,130,Competitor_A,9.96,32.73,1463.0400000000004,0.34891940492146556
India,West,P100,Water,813,4295.3,1807.43,2024-01-01,8874.48,Traditional,25335,2,4,Positive,193,Competitor_C,7.32,14.59,2487.87,0.5792075058785183
Brazil,East,P100,Carbonated Drinks,757,1993.85,1069.38,2024-01-01,12861.41,Traditional,21046,3,1,Negative,330,Competitor_C,2.64,12.45,924.4699999999998,0.46366075682724367
Brazil,South,P20,Carbonated Drinks,588,3509.74,1840.04,2024-01-02,13832.56,Traditional,79315,8,3,Negative,349,Competitor_A,4.33,29.31,1669.6999999999998,0.4757332451976499
Germany,South,P12,Juices,876,3161.39,2248.23,2024-01-02,13232.52,Digital,95791,6,3,Positive,412,Competitor_A,8.28,48.32,913.1599999999999,0.28884762715134793
Usa,South,P92,Water,613,2027.92,2339.99,2024-01-02,7654.47,Digital,44901,8,1,Positive,254,Competitor_C,6.67,28.97,-312.0699999999997,-0.1538867410943231
China,East,P59,Water,304,1480.17,2770.2,2024-01-02,11884.88,Digital,67529,5,2,Negative,139,Competitor_C,2.19,29.42,-1290.0299999999997,-0.8715417823628365
Germany,North,P34,Water,192,2136.96,1742.81,2024-01-03,10294.13,Digital,55210,7,3,Positive,377,Competitor_A,8.0,46.04,394.1500000000001,0.18444425726265354
Germany,North,P8,Water,478,1721.22,1075.93,2024-01-03,10294.13,Digital,55210,7,3,Positive,377,Competitor_A,8.0,46.04,645.29,0.3749026853046095
Brazil,East,P92,Juices,871,3834.63,1753.55,2024-01-03,8058.75,Traditional,38196,2,2,Positive,350,Competitor_A,6.8,27.76,2081.08,0.5427068582888048
Usa,West,P39,Juices,938,2459.41,2720.67,2024-01-03,15650.62,Digital,53058,10,3,Positive,104,Competitor_C,2.36,30.14,-261.2600000000002,-0.10622872965467337
